tic_id,label,catalog_period,period_days,depth,snr,sec_ratio,duration_hours,bls_power,odd_even_diff,source
315398848,planet,1.3677581,1.368169799762542,0.0036058436430761454,23.794470824204712,0.11059494798625953,1.44,261.07233659774636,0.0012977387115878924,SPOC-2min(2sectors)
230017325,false_positive,9.6926509,9.691678393220736,0.0009639558843940188,5.188578654727688,-0.11864903484986382,2.4000000000000004,62.0768052077424,7.923044249957822e-05,SPOC-2min(3sectors)
405542683,planet,1.3473988,1.3472636094849497,0.009272204312592569,15.337810983934963,0.015942801677540242,0.48,114.99012952788688,0.002005420442140915,SPOC-2min(2sectors)
169958952,planet,1.3290008,1.329134144561873,0.0009072846907596244,8.745867043239507,-0.07420423297147571,3.84,64.33111877203449,9.258666515554737e-05,QLP-FFI(2sectors)
153976959,planet,0.6858178,0.6858866111505018,0.00010772678742876352,3.676585658435297,0.0,0.96,20.539679299597708,3.198700597539794e-05,QLP-FFI(2sectors)
153412485,planet,1.3832999,1.37816457261204,0.011112497791295861,17.55955589728104,-0.044529286161631924,1.92,372.5130560406051,0.00018964018773159896,QLP-FFI(2sectors)
199949052,planet,0.5868508,0.5862031051371237,0.0001035728110079237,7.82777564143147,0.0,1.44,183.2054428562584,2.233204636714614e-05,SPOC-2min(3sectors)
358631536,false_positive,3.4040139,3.4193831935284273,0.00021245076213183278,2.941028560965389,0.21421986938316218,0.96,10.468992539031348,9.534918972153861e-05,SPOC-2min(3sectors)
37291237,planet,1.1437772,1.1413672346622072,0.0015102823058819048,13.581925161521568,0.011997241149259,1.44,121.2430389352052,0.000429223429414316,SPOC-2min(1sectors)
346418409,false_positive,2.7556532,2.7564826608294313,0.0017734920555954048,25.90639347126175,0.05772507354926599,1.92,447.4200864334994,6.249922036305477e-05,SPOC-2min(3sectors)
127425841,false_positive,1.5166573,1.5162007810802676,0.0015955025722015348,50.30371156952214,0.017783420812594302,1.92,865.4640605035628,9.021369636552645e-05,TESS-SPOC-FFI(2sectors)
28900646,planet,0.6691449,0.6697491445585285,0.00013131078833228393,4.446259515746365,0.0,0.96,40.131761693396705,2.097102197884393e-05,SPOC-2min(3sectors)
277014266,false_positive,1.3797091,1.3817855852675585,0.00034021647507409547,12.792789368542016,0.15203231743538975,1.92,104.14054063415627,9.314268039606333e-05,SPOC-2min(3sectors)
369789627,planet,1.227961,1.2285770339464883,0.0014268398712499186,12.994519525734695,-0.12016708989676178,0.96,79.37736465605806,8.954155238560801e-05,SPOC-2min(3sectors)
408203470,false_positive,0.581322,0.5812636733779264,0.0007407461555067885,8.838964510081173,0.0,1.44,87.27506814786311,8.827527334287488e-05,SPOC-2min(3sectors)
147456499,planet,1.2558789,1.2557528920836118,0.014791836419440596,101.3189960222337,0.032257367377543644,1.44,4109.781216491745,0.0015461227967331626,SPOC-2min(1sectors)
186599508,false_positive,5.6318074,5.6278519499866215,0.0006586134290291756,5.294652484050404,0.07176265578723112,2.4000000000000004,90.69895685614074,3.363587263427448e-05,SPOC-2min(1sectors)
